"BARREL","SPECIES","PLANT ID","TOOTHPICK","QUAD","AorD_1","HT_1","FLWR_1","DATE_1","NOTES_1","AorD_2","FLWR_2","DATE_2","NOTES_2","AorD_3","FLWR_3","DATE_3","NOTES_3","AorD_4","FLWR_4","DATE_4","NOTES_4","AorD_5","FLWR_5","DATE_5","NOTES_5","AorD_6","FLWR_6","DATE_6","NOTES_6","AorD_7","FLWR_7","DATE_7","NOTES_7","AorD_8","FLWR_8","Height_8","DATE_8","NOTES_8","AorD_9","FLWR_9","DATE_9","NOTES_9","FLWRTotal","SEEDTotal"
3,"BRTE",16,"R H",1,"A","2.2000000000000002",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"A",4,2023-06-14,NA,"A",4,"22",2023-06-28,NA,"D",4,2023-07-14,NA,4,352
3,"BRTE",17,"BLU S",3,"A","0.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
3,"BRTE",18,"G S",3,"A","2.4",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
3,"BRTE",19,"BLK C",3,"A","1.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",2,2023-06-07,NA,"D",3,2023-06-14,NA,"D",3,NA,2023-06-28,NA,"D",3,2023-07-14,NA,3,264
3,"BRTE",20,"R H",3,"A","1.9",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",6,2023-06-07,NA,"D",5,2023-06-14,NA,"D",5,NA,2023-06-28,NA,"D",5,2023-07-14,NA,6,528
3,"BRTE",21,"BLU D",3,"A","3.1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"D",2,2023-06-14,NA,"D",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,3,264
3,"BRTE",22,"G H",3,"A","1.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",2,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"10",2023-06-28,NA,"D",2,2023-07-14,NA,2,176
3,"BRTE",23,"R C",3,"A","1.8",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"D",1,2023-06-14,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,1,88
3,"BRTE",1395,"G S",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",1,2023-06-07,NA,"A",8,2023-06-14,NA,"A",8,"35",2023-06-28,NA,"D",8,2023-07-14,NA,8,704
3,"BRTE",1396,"G D",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",6,2023-06-07,NA,"A",6,2023-06-14,NA,"A",6,"32",2023-06-28,NA,"D",6,2023-07-14,NA,6,528
3,"BRTE",1397,"BLU S",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",1,2023-06-07,NA,"D",1,2023-06-14,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,1,88
3,"BRTE",1398,"R H",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",2,2023-06-07,NA,"A",4,2023-06-14,NA,"A",4,"27",2023-06-28,NA,"D",4,2023-07-14,NA,4,352
3,"BRTE",1967,"R H",2,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",0,2023-06-07,"NEW","A",3,2023-06-14,NA,"A",3,"22",2023-06-28,NA,"D",3,2023-07-14,NA,3,264
3,"BRTE",1968,"BLK C",2,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",3,2023-06-07,"NEW","A",4,2023-06-14,NA,"A",4,"23",2023-06-28,NA,"D",4,2023-07-14,NA,4,352
3,"BRTE",1969,"R H",4,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",3,2023-06-07,"NEW","A",3,2023-06-14,NA,"A",3,"31",2023-06-28,NA,"D",3,2023-07-14,NA,3,264
4,"BRTE",24,"G S",1,"A","1.9",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",6,2023-06-07,NA,"A",6,2023-06-14,NA,"A",6,"17",2023-06-28,NA,"D",6,2023-07-14,NA,6,528
4,"BRTE",29,"R H",1,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",4,2023-06-14,NA,"A",4,"18",2023-06-28,NA,"D",4,2023-07-14,NA,4,352
4,"BRTE",25,"BLK S",2,"A","1.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
4,"BRTE",26,"BLU S",2,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
4,"BRTE",27,"R C",4,"A","1.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",4,2023-05-17,NA,"A",13,2023-06-07,NA,"A",18,2023-06-14,NA,"A",18,"22",2023-06-28,NA,"D",18,2023-07-14,NA,18,1584
4,"BRTE",28,"BLK H",4,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",2,2023-05-17,NA,"A",5,2023-06-07,NA,"A",5,2023-06-14,NA,"A",5,"17",2023-06-28,NA,"D",5,2023-07-14,NA,5,440
4,"BRTE",1399,"BLK C",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"A",1,2023-06-14,NA,"A",1,"15",2023-06-28,NA,"D",1,2023-07-14,NA,1,88
4,"BRTE",1400,"R S",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",2,2023-06-07,NA,"A",3,2023-06-14,NA,"D",3,"9",2023-06-28,NA,"D",3,2023-07-14,NA,3,264
4,"BRTE",1920,"R C",3,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",0,2023-05-03,"NEW","D",0,2023-05-17,NA,"D",1,NA,NA,"D",1,NA,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,1,88
4,"BRTE",1959,"R H",3,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",0,2023-05-17,"NEW","D",1,2023-06-08,NA,"D",1,NA,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,"Missing toothpick",1,88
4,"BRTE",1401,"BLU D",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",4,2023-06-07,NA,"A",7,2023-06-14,NA,"A",7,"31",2023-06-28,NA,"D",7,2023-07-14,NA,7,616
6,"BRTE",31,"BLK H",1,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
6,"BRTE",32,"BLU S",1,"A","1.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",3,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,3,264
6,"BRTE",33,"G S",1,"A","1.3",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",6,2023-06-07,NA,"A",7,2023-06-14,NA,"A",7,"31",2023-06-28,NA,"D",7,2023-07-14,NA,7,616
6,"BRTE",34,"R D",1,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",4,2023-06-07,NA,"A",4,2023-06-14,NA,"A",4,"27",2023-06-28,NA,"D",4,2023-07-14,NA,4,352
6,"BRTE",35,"BLU D",1,"A","2.1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
6,"BRTE",36,"BLK S",1,"A","2.1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",2,2023-06-07,NA,"A",6,2023-06-14,NA,"A",6,"33",2023-06-28,NA,"D",8,2023-07-14,NA,8,704
6,"BRTE",37,"BLU D",2,"A","1.1000000000000001",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"A",0,2023-05-17,NA,"D",0,2023-06-08,NA,"D",3,NA,NA,"D",3,NA,2023-06-28,NA,"D",3,2023-07-14,NA,3,264
6,"BRTE",38,"R H",2,"A","1.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",3,2023-05-17,NA,"A",4,2023-06-07,NA,"A",4,2023-06-14,NA,"D",4,"15",2023-06-28,NA,"D",4,2023-07-14,NA,4,352
6,"BRTE",39,"BLK H",2,"A","1.4",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
6,"BRTE",40,"BLU S",3,"A","1.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
6,"BRTE",41,"R S",3,"A","5.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",5,2023-06-07,NA,"A",6,2023-06-14,NA,"D",6,"28",2023-06-28,NA,"D",6,2023-07-14,NA,6,528
6,"BRTE",42,"G S",3,"A","4.8",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",6,2023-06-07,NA,"A",8,2023-06-14,NA,"A",8,"29",2023-06-28,NA,"D",8,2023-07-14,NA,8,704
6,"BRTE",1402,"G S",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"D",0,2023-06-08,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,0,0
6,"BRTE",1403,"BLK H",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"D",0,2023-06-08,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,1,88
6,"ELEL",1404,"R C",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"12",2023-06-28,NA,"A",0,2023-07-14,NA,0,0
6,"ELEL",1405,"R H",3,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"16",2023-06-28,NA,NA,0,2023-07-14,NA,0,0
