"BARREL","SPECIES","LH","NvI","PLANT ID","TOOTHPICK","QUAD","AorD_1","HT_1","FLWR_1","DATE_1","NOTES_1","AorD_2","FLWR_2","DATE_2","NOTES_2","AorD_3","FLWR_3","DATE_3","NOTES_3","AorD_4","FLWR_4","DATE_4","NOTES_4","AorD_5","FLWR_5","DATE_5","NOTES_5","AorD_6","FLWR_6","DATE_6","NOTES_6","AorD_7","FLWR_7","DATE_7","NOTES_7","AorD_8","FLWR_8","Height_8","DATE_8","NOTES_8","AorD_9","FLWR_9","DATE_9","NOTES_9","VWC_2","VWC_3","VWC_4","VWC_5","VWC_6","VWC_7","VWC_8","VWC_9","FLWRTotal","SEEDTotal"
2,"BRTE","FAST","INVASIVE",1,"BLU D",1,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"22",2023-06-28,NA,"D",4,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,4,352
2,"BRTE","FAST","INVASIVE",2,"BLK S",2,"A","0.9",0,2023-03-17,NA,"A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",4,2023-06-07,NA,"A",3,2023-06-14,NA,"A",3,"20",2023-06-28,NA,"D",3,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,4,352
2,"BRTE","FAST","INVASIVE",3,"R D",2,"A","0.6",0,2023-03-17,NA,"A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,3,264
2,"BRTE","FAST","INVASIVE",4,"G D",2,"A","0.6",0,2023-03-17,NA,"A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"D",0,2023-06-08,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",5,"BLK H",2,"A","1.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"D",0,2023-06-08,NA,"D",0,2023-06-14,NA,"D",0,"22",2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",6,"BLU D",2,"A","2.2999999999999998",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"A",1,2023-06-14,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,1,88
2,"BRTE","FAST","INVASIVE",7,"G H",2,"A","0.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",8,"R C",2,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",4,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,4,352
2,"BRTE","FAST","INVASIVE",10,"G C",2,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"D",0,2023-04-19,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",9,"BLU S",3,"A","2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",4,2023-05-17,NA,"A",4,2023-06-07,NA,"A",5,2023-06-14,NA,"A",5,"16",2023-06-28,NA,"D",5,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,5,440
2,"BRTE","FAST","INVASIVE",11,"BLK S",3,"A","0.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"D",2,2023-06-08,NA,"D",2,2023-06-14,NA,"D",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,2,176
2,"BRTE","FAST","INVASIVE",12,"R H",3,"A","1.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",1,2023-06-14,NA,"A",1,"7",2023-06-28,NA,"D",1,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,3,264
2,"BRTE","FAST","INVASIVE",13,"G D",3,"A","1.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",5,2023-06-07,NA,"A",7,2023-06-14,NA,"A",7,"28",2023-06-28,NA,"D",8,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,8,704
2,"BRTE","FAST","INVASIVE",1382,"R H",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",5,2023-06-07,NA,"A",6,2023-06-14,NA,"A",6,"25",2023-06-28,NA,"D",6,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,6,528
2,"BRTE","FAST","INVASIVE",1383,"BLK H",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",8,2023-06-07,NA,"A",8,2023-06-14,NA,"A",8,"11",2023-06-28,NA,"D",13,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,13,1144
2,"BRTE","FAST","INVASIVE",1384,"Y C",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"31",2023-06-28,NA,"D",6,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,6,528
2,"ELEL","MEDIUM","NATIVE",1385,"G D",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"ELEL","MEDIUM","NATIVE",1386,"BLK D",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"A",3,2023-06-14,NA,"A",3,"10",2023-06-28,NA,"A",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,3,279
2,"ELEL","MEDIUM","NATIVE",1387,"BLU H",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"10",2023-06-28,NA,"A",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",1388,"R S",3,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",1831,"BLK C",3,"NA",NA,0,NA,NA,"NA",0,2023-04-06,NA,"A",0,2023-04-19,"NEW","D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"ELEL","MEDIUM","NATIVE",1389,"BLK H",3,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"16",2023-06-28,NA,"A",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"ELEL","MEDIUM","NATIVE",1958,"YH",3,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",0,2023-05-17,"NEW","A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"13",2023-06-28,NA,"A",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",1390,"R H",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","D",0,2023-04-19,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"BRTE","FAST","INVASIVE",1987,"BLK S",4,"NA",NA,0,NA,NA,"NA",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"9",2023-06-28,NA,"D",2,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,2,176
2,"ELEL","MEDIUM","NATIVE",1391,"BLK H",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"11",2023-06-28,NA,"A",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"ELEL","MEDIUM","NATIVE",1392,"G S",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"3",2023-06-28,NA,"D",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"ELEL","MEDIUM","NATIVE",1393,"G D",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"21",2023-06-28,NA,"A",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
2,"ELEL","MEDIUM","NATIVE",1394,"BLK C",4,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",0,2023-06-07,NA,"A",0,2023-06-14,NA,"A",0,"14",2023-06-28,NA,"A",0,2023-07-14,NA,8.7,7.4,14.8,7,5.1,10.3,3.7,2.2,0,0
3,"BRTE","FAST","INVASIVE",14,"BLK H",1,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"20",2023-06-28,NA,"D",2,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,3,264
3,"BRTE","FAST","INVASIVE",15,"G C",1,"A","1.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",2,2023-06-07,NA,"A",2,2023-06-14,NA,"D",2,"12",2023-06-28,NA,"D",2,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,2,176
3,"BRTE","FAST","INVASIVE",16,"R H",1,"A","2.2000000000000002",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"A",4,2023-06-14,NA,"A",4,"22",2023-06-28,NA,"D",4,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,4,352
3,"BRTE","FAST","INVASIVE",17,"BLU S",3,"A","0.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,0,0
3,"BRTE","FAST","INVASIVE",18,"G S",3,"A","2.4",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,2023-06-14,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,0,0
3,"BRTE","FAST","INVASIVE",19,"BLK C",3,"A","1.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",2,2023-06-07,NA,"D",3,2023-06-14,NA,"D",3,NA,2023-06-28,NA,"D",3,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,3,264
3,"BRTE","FAST","INVASIVE",20,"R H",3,"A","1.9",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",6,2023-06-07,NA,"D",5,2023-06-14,NA,"D",5,NA,2023-06-28,NA,"D",5,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,6,528
3,"BRTE","FAST","INVASIVE",21,"BLU D",3,"A","3.1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",3,2023-06-07,NA,"D",2,2023-06-14,NA,"D",2,NA,2023-06-28,NA,"D",2,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,3,264
3,"BRTE","FAST","INVASIVE",22,"G H",3,"A","1.6",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",2,2023-06-07,NA,"A",2,2023-06-14,NA,"A",2,"10",2023-06-28,NA,"D",2,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,2,176
3,"BRTE","FAST","INVASIVE",23,"R C",3,"A","1.8",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"D",1,2023-06-14,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,1,88
3,"BRTE","FAST","INVASIVE",1395,"G S",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",1,2023-06-07,NA,"A",8,2023-06-14,NA,"A",8,"35",2023-06-28,NA,"D",8,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,8,704
3,"BRTE","FAST","INVASIVE",1396,"G D",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",6,2023-06-07,NA,"A",6,2023-06-14,NA,"A",6,"32",2023-06-28,NA,"D",6,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,6,528
3,"BRTE","FAST","INVASIVE",1397,"BLU S",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",1,2023-06-07,NA,"D",1,2023-06-14,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,1,88
3,"BRTE","FAST","INVASIVE",1398,"R H",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",2,2023-06-07,NA,"A",4,2023-06-14,NA,"A",4,"27",2023-06-28,NA,"D",4,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,4,352
3,"BRTE","FAST","INVASIVE",1967,"R H",2,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",0,2023-06-07,"NEW","A",3,2023-06-14,NA,"A",3,"22",2023-06-28,NA,"D",3,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,3,264
3,"BRTE","FAST","INVASIVE",1968,"BLK C",2,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",3,2023-06-07,"NEW","A",4,2023-06-14,NA,"A",4,"23",2023-06-28,NA,"D",4,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,4,352
3,"BRTE","FAST","INVASIVE",1969,"R H",4,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",3,2023-06-07,"NEW","A",3,2023-06-14,NA,"A",3,"31",2023-06-28,NA,"D",3,2023-07-14,NA,7.9,7.2,13.7,7.3,6.6,11.2,5,2.8,3,264
4,"BRTE","FAST","INVASIVE",24,"G S",1,"A","1.9",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",6,2023-06-07,NA,"A",6,2023-06-14,NA,"A",6,"17",2023-06-28,NA,"D",6,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,6,528
4,"BRTE","FAST","INVASIVE",29,"R H",1,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",3,2023-06-07,NA,"A",4,2023-06-14,NA,"A",4,"18",2023-06-28,NA,"D",4,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,4,352
4,"BRTE","FAST","INVASIVE",25,"BLK S",2,"A","1.2",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"D",0,2023-05-17,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,0,0
4,"BRTE","FAST","INVASIVE",26,"BLU S",2,"A","1",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"D",0,2023-05-03,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,NA,"D",0,NA,2023-06-28,NA,"D",0,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,0,0
4,"BRTE","FAST","INVASIVE",27,"R C",4,"A","1.5",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",4,2023-05-17,NA,"A",13,2023-06-07,NA,"A",18,2023-06-14,NA,"A",18,"22",2023-06-28,NA,"D",18,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,18,1584
4,"BRTE","FAST","INVASIVE",28,"BLK H",4,"A","0.7",0,2023-03-17,"NEW","A",0,2023-04-06,NA,"A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",2,2023-05-17,NA,"A",5,2023-06-07,NA,"A",5,2023-06-14,NA,"A",5,"17",2023-06-28,NA,"D",5,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,5,440
4,"BRTE","FAST","INVASIVE",1399,"BLK C",1,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",0,2023-05-17,NA,"A",1,2023-06-07,NA,"A",1,2023-06-14,NA,"A",1,"15",2023-06-28,NA,"D",1,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,1,88
4,"BRTE","FAST","INVASIVE",1400,"R S",2,"NA",NA,0,NA,NA,"A",0,2023-04-06,"NEW","A",0,2023-04-19,NA,"A",0,2023-05-03,NA,"A",1,2023-05-17,NA,"A",2,2023-06-07,NA,"A",3,2023-06-14,NA,"D",3,"9",2023-06-28,NA,"D",3,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,3,264
4,"BRTE","FAST","INVASIVE",1920,"R C",3,"NA",NA,0,NA,NA,"NA",0,NA,NA,"NA",0,NA,NA,"A",0,2023-05-03,"NEW","D",0,2023-05-17,NA,"D",1,NA,NA,"D",1,NA,NA,"D",1,NA,2023-06-28,NA,"D",1,2023-07-14,NA,7.6,6.9,13.3,6.8,7.1,11.1,5.3,2.5,1,88
